Date,Visitor,G,Home,G,,Att.,LOG,Notes
2018-10-28,New York Islanders,2,Carolina Hurricanes,1,,10367,02:30:00 AM,
2018-10-28,Edmonton Oilers,2,Chicago Blackhawks,1,OT,20987,02:24:00 AM,
2018-10-28,Dallas Stars,2,Detroit Red Wings,4,,19515,02:26:00 AM,at Little Caesars Arena (Detroit MI)
2018-10-28,New York Rangers,3,Los Angeles Kings,4,,18230,02:41:00 AM,
2018-10-28,Ottawa Senators,3,Vegas Golden Knights,4,OT,18089,02:40:00 AM,
2018-10-29,Calgary Flames,3,Toronto Maple Leafs,1,,18989,02:31:00 AM,
2018-10-29,Minnesota Wild,2,Vancouver Canucks,5,,16546,02:36:00 AM,
2018-10-30,Philadelphia Flyers,3,Anaheim Ducks,2,,16450,02:28:00 AM,
2018-10-30,Ottawa Senators,1,Arizona Coyotes,5,,13988,02:32:00 AM,
2018-10-30,Calgary Flames,2,Buffalo Sabres,1,OT,15196,02:38:00 AM,
2018-10-30,Boston Bruins,3,Carolina Hurricanes,2,,11357,02:37:00 AM,
2018-10-30,Detroit Red Wings,5,Columbus Blue Jackets,3,,14288,02:30:00 AM,
2018-10-30,Minnesota Wild,4,Edmonton Oilers,3,,18347,02:32:00 AM,
2018-10-30,Dallas Stars,4,Montreal Canadiens,1,,20506,02:39:00 AM,
2018-10-30,Vegas Golden Knights,1,Nashville Predators,4,,17367,02:30:00 AM,
2018-10-30,New York Islanders,6,Pittsburgh Penguins,3,,18509,02:32:00 AM,
2018-10-30,New York Rangers,4,San Jose Sharks,3,SO,17562,02:38:00 AM,
2018-10-30,New Jersey Devils,3,Tampa Bay Lightning,8,,19092,02:37:00 AM,
2018-10-31,Chicago Blackhawks,2,Vancouver Canucks,4,,16955,02:32:00 AM,
2018-11-01,New York Rangers,3,Anaheim Ducks,2,SO,16101,03:14:00 AM,
2018-11-01,Colorado Avalanche,5,Calgary Flames,6,,17317,02:39:00 AM,
2018-11-01,New Jersey Devils,3,Detroit Red Wings,4,,18273,02:48:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-01,Chicago Blackhawks,0,Edmonton Oilers,4,,18347,02:26:00 AM,
2018-11-01,Winnipeg Jets,4,Florida Panthers,2,,13490,02:37:00 AM,NHL Global Series
2018-11-01,Philadelphia Flyers,5,Los Angeles Kings,2,,18230,02:35:00 AM,
2018-11-01,Washington Capitals,4,Montreal Canadiens,6,,20279,02:25:00 AM,
2018-11-01,Pittsburgh Penguins,2,New York Islanders,3,SO,10910,02:42:00 AM,
2018-11-01,Buffalo Sabres,2,Ottawa Senators,4,,12587,02:20:00 AM,
2018-11-01,Columbus Blue Jackets,4,San Jose Sharks,1,,15879,02:32:00 AM,
2018-11-01,Vegas Golden Knights,3,St. Louis Blues,5,,16813,02:32:00 AM,
2018-11-01,Nashville Predators,4,Tampa Bay Lightning,1,,19092,02:30:00 AM,
2018-11-01,Dallas Stars,2,Toronto Maple Leafs,1,,18878,02:27:00 AM,
2018-11-02,Carolina Hurricanes,3,Arizona Coyotes,4,OT,10562,02:30:00 AM,
2018-11-02,Colorado Avalanche,6,Vancouver Canucks,7,OT,18334,02:44:00 AM,
2018-11-02,Florida Panthers,4,Winnipeg Jets,2,,13490,02:34:00 AM,NHL Global Series
2018-11-03,Ottawa Senators,2,Buffalo Sabres,9,,17881,02:27:00 AM,
2018-11-03,Chicago Blackhawks,3,Calgary Flames,5,,18143,02:26:00 AM,
2018-11-03,Edmonton Oilers,4,Detroit Red Wings,3,,19515,02:31:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-03,Columbus Blue Jackets,1,Los Angeles Kings,4,,18230,02:32:00 AM,
2018-11-03,Tampa Bay Lightning,4,Montreal Canadiens,1,,21302,02:31:00 AM,
2018-11-03,Boston Bruins,0,Nashville Predators,1,,17535,02:38:00 AM,
2018-11-03,New Jersey Devils,0,New York Islanders,3,,11901,02:26:00 AM,
2018-11-03,Toronto Maple Leafs,5,Pittsburgh Penguins,0,,18638,02:38:00 AM,
2018-11-03,Philadelphia Flyers,3,San Jose Sharks,4,OT,17562,02:29:00 AM,
2018-11-03,Minnesota Wild,5,St. Louis Blues,1,,17767,02:27:00 AM,
2018-11-03,Carolina Hurricanes,0,Vegas Golden Knights,3,,18328,02:29:00 AM,
2018-11-03,Dallas Stars,4,Washington Capitals,3,OT,18506,02:40:00 AM,
2018-11-04,Columbus Blue Jackets,2,Anaheim Ducks,3,OT,16727,02:31:00 AM,
2018-11-04,Buffalo Sabres,1,New York Rangers,3,,16904,02:26:00 AM,
2018-11-04,Tampa Bay Lightning,4,Ottawa Senators,3,OT,11364,02:29:00 AM,
2018-11-05,Philadelphia Flyers,5,Arizona Coyotes,2,,13719,02:28:00 AM,
2018-11-05,Dallas Stars,1,Boston Bruins,2,OT,17565,02:34:00 AM,
2018-11-05,Montreal Canadiens,4,New York Islanders,3,SO,9402,02:40:00 AM,
2018-11-05,New Jersey Devils,5,Pittsburgh Penguins,1,,18420,02:38:00 AM,
2018-11-05,Edmonton Oilers,2,Washington Capitals,4,,18506,02:30:00 AM,
2018-11-06,Dallas Stars,1,Columbus Blue Jackets,4,,14159,02:24:00 AM,
2018-11-06,Vancouver Canucks,2,Detroit Red Wings,3,SO,18640,02:47:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-06,Anaheim Ducks,1,Los Angeles Kings,4,,18230,02:41:00 AM,
2018-11-06,Montreal Canadiens,3,New York Rangers,5,,17428,02:40:00 AM,
2018-11-06,New Jersey Devils,3,Ottawa Senators,7,,12491,02:37:00 AM,
2018-11-06,Minnesota Wild,3,San Jose Sharks,4,,15853,02:23:00 AM,
2018-11-06,Carolina Hurricanes,1,St. Louis Blues,4,,16210,02:31:00 AM,
2018-11-06,Edmonton Oilers,2,Tampa Bay Lightning,5,,19092,02:33:00 AM,
2018-11-06,Vegas Golden Knights,1,Toronto Maple Leafs,3,,19045,02:34:00 AM,
2018-11-07,Calgary Flames,2,Anaheim Ducks,3,,16461,02:23:00 AM,
2018-11-07,Nashville Predators,4,Colorado Avalanche,1,,16923,02:44:00 AM,
2018-11-07,Pittsburgh Penguins,1,Washington Capitals,2,,18506,02:33:00 AM,
2018-11-08,Vancouver Canucks,8,Boston Bruins,5,,17565,02:38:00 AM,
2018-11-08,Carolina Hurricanes,4,Chicago Blackhawks,3,,21331,02:20:00 AM,
2018-11-08,San Jose Sharks,3,Dallas Stars,4,,18137,02:33:00 AM,
2018-11-08,Edmonton Oilers,1,Florida Panthers,4,,11484,02:33:00 AM,
2018-11-08,Minnesota Wild,3,Los Angeles Kings,1,,17621,02:29:00 AM,
2018-11-08,Buffalo Sabres,6,Montreal Canadiens,5,OT,20488,02:40:00 AM,
2018-11-08,Vegas Golden Knights,5,Ottawa Senators,3,,15213,02:37:00 AM,
2018-11-08,Arizona Coyotes,4,Philadelphia Flyers,5,OT,18884,02:28:00 AM,
2018-11-08,New York Islanders,2,Tampa Bay Lightning,4,,19092,02:30:00 AM,
2018-11-09,Minnesota Wild,5,Anaheim Ducks,1,,16464,02:30:00 AM,
2018-11-09,New York Rangers,2,Detroit Red Wings,3,OT,19515,02:38:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-09,San Jose Sharks,0,St. Louis Blues,4,,17032,02:21:00 AM,
2018-11-09,New Jersey Devils,1,Toronto Maple Leafs,6,,19211,02:32:00 AM,
2018-11-09,Colorado Avalanche,2,Winnipeg Jets,5,,15321,02:23:00 AM,
2018-11-09,Columbus Blue Jackets,2,Washington Capitals,1,,18506,02:31:00 AM,
2018-11-10,Toronto Maple Leafs,1,Boston Bruins,5,,17565,02:34:00 AM,
2018-11-10,Vancouver Canucks,3,Buffalo Sabres,4,SO,17541,02:42:00 AM,
2018-11-10,Detroit Red Wings,4,Carolina Hurricanes,3,SO,13029,02:42:00 AM,
2018-11-10,New York Rangers,5,Columbus Blue Jackets,4,SO,18384,02:47:00 AM,
2018-11-10,Nashville Predators,5,Dallas Stars,4,OT,18532,02:42:00 AM,
2018-11-10,New York Islanders,2,Florida Panthers,4,,11947,02:28:00 AM,
2018-11-10,Calgary Flames,1,Los Angeles Kings,0,,18230,02:32:00 AM,
2018-11-10,Vegas Golden Knights,4,Montreal Canadiens,5,,21302,02:30:00 AM,
2018-11-10,Chicago Blackhawks,0,Philadelphia Flyers,4,,19355,02:25:00 AM,
2018-11-10,Arizona Coyotes,0,Pittsburgh Penguins,4,,18596,02:31:00 AM,
2018-11-10,Ottawa Senators,6,Tampa Bay Lightning,4,,19092,02:35:00 AM,
2018-11-11,Vegas Golden Knights,1,Boston Bruins,4,,17565,02:30:00 AM,
2018-11-11,Colorado Avalanche,4,Edmonton Oilers,1,,18347,02:14:00 AM,
2018-11-11,Ottawa Senators,1,Florida Panthers,5,,11192,02:35:00 AM,
2018-11-11,Calgary Flames,1,San Jose Sharks,3,,17562,02:22:00 AM,
2018-11-11,Minnesota Wild,3,St. Louis Blues,2,,16735,02:33:00 AM,
2018-11-11,New Jersey Devils,2,Winnipeg Jets,5,,15321,02:30:00 AM,
2018-11-11,Arizona Coyotes,4,Washington Capitals,1,,18506,02:27:00 AM,
2018-11-12,Nashville Predators,1,Anaheim Ducks,2,SO,16629,03:04:00 AM,
2018-11-12,Chicago Blackhawks,2,Carolina Hurricanes,3,OT,11221,02:28:00 AM,
2018-11-12,Columbus Blue Jackets,2,Dallas Stars,1,,17543,02:32:00 AM,
2018-11-12,Vancouver Canucks,1,New York Rangers,2,,17100,02:28:00 AM,
2018-11-13,Tampa Bay Lightning,1,Buffalo Sabres,2,,15833,02:31:00 AM,
2018-11-13,Arizona Coyotes,1,Detroit Red Wings,6,,18257,02:39:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-13,Montreal Canadiens,2,Edmonton Oilers,6,,18347,02:28:00 AM,
2018-11-13,Toronto Maple Leafs,5,Los Angeles Kings,1,,17859,02:21:00 AM,
2018-11-13,Washington Capitals,5,Minnesota Wild,2,,19101,02:33:00 AM,
2018-11-13,Pittsburgh Penguins,2,New Jersey Devils,4,,15108,02:41:00 AM,
2018-11-13,Vancouver Canucks,2,New York Islanders,5,,8806,02:26:00 AM,
2018-11-13,Florida Panthers,2,Philadelphia Flyers,1,,19147,02:30:00 AM,
2018-11-13,Nashville Predators,4,San Jose Sharks,5,,16654,02:33:00 AM,
2018-11-14,St. Louis Blues,0,Chicago Blackhawks,1,,21401,02:19:00 AM,
2018-11-14,Boston Bruins,3,Colorado Avalanche,6,,16124,02:20:00 AM,
2018-11-14,Anaheim Ducks,0,Vegas Golden Knights,5,,18111,02:25:00 AM,
2018-11-14,Washington Capitals,1,Winnipeg Jets,3,,15321,02:22:00 AM,
2018-11-15,Nashville Predators,1,Arizona Coyotes,2,,13315,02:29:00 AM,
2018-11-15,Florida Panthers,3,Columbus Blue Jackets,7,,14872,02:31:00 AM,
2018-11-15,Montreal Canadiens,3,Calgary Flames,2,,18443,02:32:00 AM,
2018-11-15,Vancouver Canucks,2,Minnesota Wild,6,,19014,02:35:00 AM,
2018-11-15,New York Rangers,5,New York Islanders,7,,13472,02:40:00 AM,
2018-11-15,Detroit Red Wings,1,Ottawa Senators,2,,13402,02:39:00 AM,
2018-11-15,New Jersey Devils,3,Philadelphia Flyers,0,,18806,02:34:00 AM,
2018-11-15,Tampa Bay Lightning,4,Pittsburgh Penguins,3,,18422,02:31:00 AM,
2018-11-15,Toronto Maple Leafs,5,San Jose Sharks,3,,17011,02:27:00 AM,
2018-11-16,Toronto Maple Leafs,2,Anaheim Ducks,1,OT,16666,02:34:00 AM,
2018-11-16,Los Angeles Kings,2,Chicago Blackhawks,1,SO,21227,02:36:00 AM,
2018-11-16,Washington Capitals,3,Colorado Avalanche,2,OT,18050,02:35:00 AM,
2018-11-16,Boston Bruins,0,Dallas Stars,1,OT,18532,02:37:00 AM,
2018-11-16,St. Louis Blues,4,Vegas Golden Knights,1,,18488,02:25:00 AM,
2018-11-16,Buffalo Sabres,2,Winnipeg Jets,1,SO,15321,02:37:00 AM,
2018-11-17,Boston Bruins,2,Arizona Coyotes,1,,16386,02:23:00 AM,
2018-11-17,Columbus Blue Jackets,4,Carolina Hurricanes,1,,13040,02:25:00 AM,
2018-11-17,Edmonton Oilers,2,Calgary Flames,4,,19289,02:45:00 AM,
2018-11-17,Buffalo Sabres,3,Minnesota Wild,2,,18947,02:22:00 AM,
2018-11-17,Detroit Red Wings,3,New Jersey Devils,2,OT,16514,02:37:00 AM,
2018-11-17,Los Angeles Kings,3,Nashville Predators,5,,17627,02:34:00 AM,
2018-11-17,Florida Panthers,2,New York Rangers,4,,18006,02:30:00 AM,
2018-11-17,Pittsburgh Penguins,4,Ottawa Senators,6,,17692,02:28:00 AM,
2018-11-17,Tampa Bay Lightning,6,Philadelphia Flyers,5,OT,19060,02:40:00 AM,
2018-11-17,St. Louis Blues,0,San Jose Sharks,4,,17417,02:24:00 AM,
2018-11-17,Montreal Canadiens,3,Vancouver Canucks,2,,17880,02:35:00 AM,
2018-11-18,Colorado Avalanche,4,Anaheim Ducks,3,OT,16502,02:40:00 AM,
2018-11-18,New Jersey Devils,1,Carolina Hurricanes,2,,11211,02:30:00 AM,
2018-11-18,Minnesota Wild,1,Chicago Blackhawks,3,,21373,02:33:00 AM,
2018-11-18,Vegas Golden Knights,6,Edmonton Oilers,3,,18347,02:31:00 AM,
2018-11-18,Dallas Stars,6,New York Islanders,2,,10650,02:24:00 AM,
2018-11-19,Vegas Golden Knights,2,Calgary Flames,7,,17635,02:23:00 AM,
2018-11-19,Washington Capitals,5,Montreal Canadiens,4,OT,21911,02:52:00 AM,
2018-11-19,Tampa Bay Lightning,2,Nashville Predators,3,,17419,02:29:00 AM,
2018-11-19,Dallas Stars,1,New York Rangers,2,,17071,02:22:00 AM,
2018-11-19,Florida Panthers,7,Ottawa Senators,5,,11570,02:41:00 AM,
2018-11-19,Buffalo Sabres,5,Pittsburgh Penguins,4,OT,18618,02:37:00 AM,
2018-11-19,Los Angeles Kings,2,St. Louis Blues,0,,16860,02:21:00 AM,
2018-11-19,Columbus Blue Jackets,2,Toronto Maple Leafs,4,,19134,02:32:00 AM,
2018-11-19,Winnipeg Jets,6,Vancouver Canucks,3,,17917,02:32:00 AM,
2018-11-20,Edmonton Oilers,4,San Jose Sharks,3,OT,17562,02:30:00 AM,
2018-11-21,Vancouver Canucks,3,Anaheim Ducks,4,,16091,02:32:00 AM,
2018-11-21,Vegas Golden Knights,3,Arizona Coyotes,2,OT,14151,02:39:00 AM,
2018-11-21,Philadelphia Flyers,2,Buffalo Sabres,5,,19070,02:26:00 AM,
2018-11-21,Toronto Maple Leafs,2,Carolina Hurricanes,5,,12562,02:31:00 AM,
2018-11-21,Winnipeg Jets,3,Calgary Flames,6,,17661,02:35:00 AM,
2018-11-21,Boston Bruins,2,Detroit Red Wings,3,OT,19515,02:29:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-21,Colorado Avalanche,7,Los Angeles Kings,3,,17840,02:40:00 AM,
2018-11-21,Ottawa Senators,4,Minnesota Wild,6,,19035,02:36:00 AM,
2018-11-21,Montreal Canadiens,2,New Jersey Devils,5,,16514,02:24:00 AM,
2018-11-21,St. Louis Blues,1,Nashville Predators,4,,17558,02:39:00 AM,
2018-11-21,New York Islanders,0,New York Rangers,5,,17297,02:25:00 AM,
2018-11-21,Dallas Stars,1,Pittsburgh Penguins,5,,18430,02:18:00 AM,
2018-11-21,Florida Panthers,3,Tampa Bay Lightning,7,,19092,02:28:00 AM,
2018-11-21,Chicago Blackhawks,2,Washington Capitals,4,,18506,02:30:00 AM,
2018-11-23,Edmonton Oilers,1,Anaheim Ducks,2,OT,16497,02:23:00 AM,
2018-11-23,Colorado Avalanche,5,Arizona Coyotes,1,,12029,02:30:00 AM,
2018-11-23,Pittsburgh Penguins,1,Boston Bruins,2,OT,17565,02:41:00 AM,
2018-11-23,Montreal Canadiens,2,Buffalo Sabres,3,OT,19070,02:37:00 AM,
2018-11-23,Florida Panthers,1,Carolina Hurricanes,4,,13226,02:28:00 AM,
2018-11-23,Toronto Maple Leafs,2,Columbus Blue Jackets,4,,18656,02:21:00 AM,
2018-11-23,Ottawa Senators,4,Dallas Stars,6,,18532,02:40:00 AM,
2018-11-23,Winnipeg Jets,2,Minnesota Wild,4,,19116,02:42:00 AM,
2018-11-23,New York Islanders,4,New Jersey Devils,3,OT,16514,02:38:00 AM,
2018-11-23,New York Rangers,0,Philadelphia Flyers,4,,19523,02:31:00 AM,
2018-11-23,Vancouver Canucks,0,San Jose Sharks,4,,17056,02:21:00 AM,
2018-11-23,Nashville Predators,2,St. Louis Blues,6,,16192,02:30:00 AM,
2018-11-23,Chicago Blackhawks,2,Tampa Bay Lightning,4,,19092,02:20:00 AM,
2018-11-23,Calgary Flames,0,Vegas Golden Knights,2,,18206,02:25:00 AM,
2018-11-23,Detroit Red Wings,1,Washington Capitals,3,,18506,02:32:00 AM,
2018-11-24,Dallas Stars,2,Colorado Avalanche,3,,18010,02:31:00 AM,
2018-11-24,Buffalo Sabres,3,Detroit Red Wings,2,SO,19515,02:51:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-24,Chicago Blackhawks,5,Florida Panthers,4,OT,14283,02:37:00 AM,
2018-11-24,Vancouver Canucks,4,Los Angeles Kings,2,,17725,02:23:00 AM,
2018-11-24,Boston Bruins,3,Montreal Canadiens,2,,21302,02:37:00 AM,
2018-11-24,Carolina Hurricanes,1,New York Islanders,4,,10015,02:23:00 AM,
2018-11-24,Washington Capitals,5,New York Rangers,3,,16884,02:17:00 AM,
2018-11-24,Columbus Blue Jackets,2,Pittsburgh Penguins,4,,18602,02:37:00 AM,
2018-11-24,Winnipeg Jets,8,St. Louis Blues,4,,17028,02:35:00 AM,
2018-11-24,Philadelphia Flyers,0,Toronto Maple Leafs,6,,19373,02:25:00 AM,
2018-11-24,San Jose Sharks,0,Vegas Golden Knights,6,,18252,02:34:00 AM,
2018-11-25,Calgary Flames,6,Arizona Coyotes,1,,12821,02:29:00 AM,
2018-11-25,Edmonton Oilers,2,Los Angeles Kings,5,,17581,02:39:00 AM,
2018-11-25,Anaheim Ducks,2,Nashville Predators,5,,17167,02:43:00 AM,
2018-11-25,New Jersey Devils,2,Tampa Bay Lightning,5,,19092,02:33:00 AM,
2018-11-26,Columbus Blue Jackets,7,Detroit Red Wings,5,,17510,02:31:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-26,New Jersey Devils,3,Florida Panthers,4,OT,9456,02:43:00 AM,
2018-11-26,Washington Capitals,4,New York Islanders,1,,9072,02:20:00 AM,
2018-11-26,Ottawa Senators,2,New York Rangers,4,,16709,02:37:00 AM,
2018-11-26,Boston Bruins,2,Toronto Maple Leafs,4,,19286,02:27:00 AM,
2018-11-27,San Jose Sharks,2,Buffalo Sabres,3,OT,19070,02:39:00 AM,
2018-11-27,Vegas Golden Knights,8,Chicago Blackhawks,3,,21460,02:26:00 AM,
2018-11-27,Dallas Stars,0,Edmonton Oilers,1,OT,18347,02:32:00 AM,
2018-11-27,Arizona Coyotes,4,Minnesota Wild,3,,18706,02:27:00 AM,
2018-11-27,Carolina Hurricanes,2,Montreal Canadiens,1,,20835,02:27:00 AM,
2018-11-27,Colorado Avalanche,3,Nashville Predators,2,,17163,02:29:00 AM,
2018-11-27,Ottawa Senators,4,Philadelphia Flyers,3,,19083,02:28:00 AM,
2018-11-27,Anaheim Ducks,3,Tampa Bay Lightning,1,,19092,02:25:00 AM,
2018-11-27,Los Angeles Kings,2,Vancouver Canucks,1,OT,17790,02:26:00 AM,
2018-11-27,Pittsburgh Penguins,4,Winnipeg Jets,3,,15321,02:23:00 AM,
2018-11-28,Dallas Stars,4,Calgary Flames,3,OT,17676,02:32:00 AM,
2018-11-28,Pittsburgh Penguins,3,Colorado Avalanche,6,,17348,02:31:00 AM,
2018-11-28,St. Louis Blues,3,Detroit Red Wings,4,,18165,02:36:00 AM,at Little Caesars Arena (Detroit MI)
2018-11-28,Anaheim Ducks,3,Florida Panthers,2,,9078,02:31:00 AM,
2018-11-28,San Jose Sharks,3,Toronto Maple Leafs,5,,19362,02:36:00 AM,
2018-11-29,New York Islanders,1,Boston Bruins,2,SO,17565,02:42:00 AM,
2018-11-29,Minnesota Wild,2,Columbus Blue Jackets,4,,15210,02:28:00 AM,
2018-11-29,Los Angeles Kings,2,Edmonton Oilers,3,,18347,02:35:00 AM,
2018-11-29,Arizona Coyotes,3,Nashville Predators,0,,17165,02:33:00 AM,
2018-11-29,New York Rangers,0,Ottawa Senators,3,,10921,02:13:00 AM,
2018-11-29,Buffalo Sabres,4,Tampa Bay Lightning,5,,19092,02:33:00 AM,
2018-11-29,Vegas Golden Knights,4,Vancouver Canucks,3,,16880,02:25:00 AM,
2018-11-29,Chicago Blackhawks,5,Winnipeg Jets,6,,15321,02:21:00 AM,
2018-11-30,Anaheim Ducks,2,Carolina Hurricanes,1,OT,13987,02:34:00 AM,
2018-11-30,Los Angeles Kings,1,Calgary Flames,4,,17989,02:18:00 AM,
2018-11-30,St. Louis Blues,3,Colorado Avalanche,2,OT,18021,02:38:00 AM,
2018-11-30,Buffalo Sabres,2,Florida Panthers,3,OT,12179,02:36:00 AM,
2018-11-30,New Jersey Devils,3,Washington Capitals,6,,18506,02:33:00 AM,
2018-12-01,St. Louis Blues,1,Arizona Coyotes,6,,13451,02:30:00 AM,
2018-12-01,Detroit Red Wings,4,Boston Bruins,2,,17565,02:40:00 AM,
2018-12-01,Vegas Golden Knights,1,Edmonton Oilers,2,,18347,02:19:00 AM,
2018-12-01,Tampa Bay Lightning,5,Florida Panthers,4,OT,12361,02:47:00 AM,
2018-12-01,Toronto Maple Leafs,5,Minnesota Wild,3,,19107,02:31:00 AM,
2018-12-01,New York Rangers,2,Montreal Canadiens,5,,21302,02:26:00 AM,
2018-12-01,Winnipeg Jets,4,New Jersey Devils,3,OT,16514,02:46:00 AM,
2018-12-01,Chicago Blackhawks,2,Nashville Predators,5,,17548,02:26:00 AM,
2018-12-01,Columbus Blue Jackets,2,New York Islanders,3,,13917,02:30:00 AM,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2018-12-01,San Jose Sharks,2,Ottawa Senators,6,,17531,02:37:00 AM,
2018-12-01,Philadelphia Flyers,4,Pittsburgh Penguins,2,,18653,02:23:00 AM,
2018-12-01,Dallas Stars,2,Vancouver Canucks,1,,17387,02:30:00 AM,
2018-12-02,Calgary Flames,3,Chicago Blackhawks,2,,21074,02:30:00 AM,
2018-12-02,Colorado Avalanche,2,Detroit Red Wings,0,,18248,02:32:00 AM,at Little Caesars Arena (Detroit MI)
2018-12-02,Carolina Hurricanes,0,Los Angeles Kings,2,,17546,02:38:00 AM,
2018-12-02,San Jose Sharks,3,Montreal Canadiens,1,,20301,02:24:00 AM,
2018-12-02,Winnipeg Jets,4,New York Rangers,3,SO,17464,02:42:00 AM,
2018-12-02,Anaheim Ducks,6,Washington Capitals,5,,18506,02:35:00 AM,
2018-12-03,Edmonton Oilers,1,Dallas Stars,4,,18125,02:34:00 AM,
2018-12-03,Tampa Bay Lightning,5,New Jersey Devils,1,,13394,02:32:00 AM,
2018-12-03,Buffalo Sabres,1,Nashville Predators,2,,17311,02:31:00 AM,
2018-12-04,Toronto Maple Leafs,4,Buffalo Sabres,3,OT,19070,02:38:00 AM,
2018-12-04,Calgary Flames,9,Columbus Blue Jackets,6,,14885,02:30:00 AM,
2018-12-04,Tampa Bay Lightning,6,Detroit Red Wings,5,SO,18477,02:42:00 AM,at Little Caesars Arena (Detroit MI)
2018-12-04,Boston Bruins,0,Florida Panthers,5,,12058,02:40:00 AM,
2018-12-04,Arizona Coyotes,2,Los Angeles Kings,1,,17203,02:32:00 AM,
2018-12-04,Ottawa Senators,2,Montreal Canadiens,5,,20705,02:25:00 AM,
2018-12-04,Winnipeg Jets,3,New York Islanders,1,,9125,02:22:00 AM,
2018-12-04,Colorado Avalanche,3,Pittsburgh Penguins,6,,18415,02:34:00 AM,
2018-12-04,Minnesota Wild,3,Vancouver Canucks,2,,17122,02:25:00 AM,
2018-12-04,Washington Capitals,3,Vegas Golden Knights,5,,18275,02:36:00 AM,
2018-12-05,Chicago Blackhawks,2,Anaheim Ducks,4,,15696,02:24:00 AM,
2018-12-05,Carolina Hurricanes,1,San Jose Sharks,5,,17119,02:24:00 AM,
2018-12-05,Edmonton Oilers,3,St. Louis Blues,2,SO,16551,02:37:00 AM,
2018-12-06,Washington Capitals,4,Arizona Coyotes,2,,11910,02:21:00 AM,
2018-12-06,Minnesota Wild,0,Calgary Flames,2,,17690,02:33:00 AM,
2018-12-06,Colorado Avalanche,5,Florida Panthers,2,,10077,02:29:00 AM,
2018-12-06,New Jersey Devils,6,Los Angeles Kings,3,,17568,02:47:00 AM,
2018-12-06,Montreal Canadiens,5,Ottawa Senators,2,,15820,02:24:00 AM,
2018-12-06,Columbus Blue Jackets,4,Philadelphia Flyers,3,OT,19428,02:30:00 AM,
2018-12-06,New York Islanders,2,Pittsburgh Penguins,6,,18440,02:25:00 AM,
2018-12-06,Boston Bruins,2,Tampa Bay Lightning,3,,19092,02:24:00 AM,
2018-12-06,Detroit Red Wings,5,Toronto Maple Leafs,4,OT,19392,02:37:00 AM,
2018-12-06,Nashville Predators,3,Vancouver Canucks,5,,16894,02:25:00 AM,
2018-12-06,Chicago Blackhawks,3,Vegas Golden Knights,4,,18494,02:32:00 AM,
2018-12-07,Carolina Hurricanes,4,Anaheim Ducks,1,,15573,02:35:00 AM,
2018-12-07,San Jose Sharks,2,Dallas Stars,3,,18342,02:26:00 AM,
2018-12-07,Minnesota Wild,2,Edmonton Oilers,7,,18347,02:28:00 AM,
2018-12-07,St. Louis Blues,1,Winnipeg Jets,0,,15321,02:27:00 AM,
2018-12-08,San Jose Sharks,5,Arizona Coyotes,3,,13780,02:29:00 AM,
2018-12-08,Toronto Maple Leafs,3,Boston Bruins,6,,17565,02:39:00 AM,
2018-12-08,Philadelphia Flyers,6,Buffalo Sabres,2,,18283,02:29:00 AM,
2018-12-08,Washington Capitals,4,Columbus Blue Jackets,0,,18501,02:29:00 AM,
2018-12-08,Nashville Predators,2,Calgary Flames,5,,17717,02:17:00 AM,
2018-12-08,New York Islanders,3,Detroit Red Wings,2,,19515,02:39:00 AM,at Little Caesars Arena (Detroit MI)
2018-12-08,New York Rangers,5,Florida Panthers,4,SO,15295,02:43:00 AM,
2018-12-08,Vegas Golden Knights,1,Los Angeles Kings,5,,17631,02:25:00 AM,
2018-12-08,Pittsburgh Penguins,1,Ottawa Senators,2,OT,15795,02:28:00 AM,
2018-12-08,Colorado Avalanche,1,Tampa Bay Lightning,7,,19092,02:32:00 AM,
2018-12-09,New Jersey Devils,5,Anaheim Ducks,6,SO,16470,02:45:00 AM,
2018-12-09,Montreal Canadiens,3,Chicago Blackhawks,2,,21057,02:32:00 AM,
2018-12-09,Calgary Flames,0,Edmonton Oilers,1,,18347,02:25:00 AM,
2018-12-09,Boston Bruins,2,Ottawa Senators,1,OT,13148,02:33:00 AM,
2018-12-09,Vancouver Canucks,6,St. Louis Blues,1,,16841,02:22:00 AM,
2018-12-09,Dallas Stars,2,Vegas Golden Knights,4,,18240,02:31:00 AM,
2018-12-09,Philadelphia Flyers,1,Winnipeg Jets,7,,15321,02:38:00 AM,
2018-12-10,Los Angeles Kings,1,Detroit Red Wings,3,,18322,02:24:00 AM,at Little Caesars Arena (Detroit MI)
2018-12-10,Pittsburgh Penguins,2,New York Islanders,1,SO,13917,02:43:00 AM,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2018-12-10,New Jersey Devils,2,San Jose Sharks,5,,17097,02:28:00 AM,
2018-12-10,New York Rangers,3,Tampa Bay Lightning,6,,19092,02:33:00 AM,
